I0208 07:36:34.047091       1 sync.go:230] repositorySync default:catalog-workloads-tools:workloads/tools:main: next scheduled time: 2026-02-08 07:39:34.047086294 +0000 UTC m=+91462.165543242
I0208 07:36:34.049542       1 repository.go:152] crcache: getPackageRevisions(default:catalog-nephio-core:nephio/core:main) fetching packages from external repository
I0208 07:36:34.057895       1 repository.go:152] crcache: getPackageRevisions(default:catalog-workloads-free5gc:workloads/free5gc:main) fetching packages from external repository
I0208 07:36:34.078775       1 background.go:222] repository MODIFIED event handling: repo default:oai-core-packages, handling completed in 42.624827ms
I0208 07:36:34.078822       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-core, handling starting
I0208 07:36:34.085113       1 repository.go:539] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: sync started
I0208 07:36:34.097429       1 repository.go:589] repo default:oai-core-packages::main: refresh finished in 0.030306 secs
I0208 07:36:34.097481       1 repository.go:540] repositorySync default:oai-core-packages::main: sync finished in 79.315454ms
W0208 07:36:34.097499       1 sync.go:183] repositorySync default:oai-core-packages::main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:34.097512       1 sync.go:230] repositorySync default:oai-core-packages::main: next scheduled time: 2026-02-08 07:39:34.097506862 +0000 UTC m=+91462.215963811
I0208 07:36:34.102752       1 repository.go:152] crcache: getPackageRevisions(default:catalog-distros-sandbox:distros/sandbox:main) fetching packages from external repository
I0208 07:36:34.136819       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-core, handling completed in 57.989088ms
I0208 07:36:34.136858       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling starting
I0208 07:36:34.235884       1 repository.go:539] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: sync started
I0208 07:36:34.252930       1 repository.go:152] crcache: getPackageRevisions(default:catalog-workloads-oai-ran:workloads/oai:main) fetching packages from external repository
I0208 07:36:34.309331       1 repository.go:539] repositorySync default:catalog-nephio-optional:nephio/optional:main: sync started
I0208 07:36:34.323295       1 repository.go:152] crcache: getPackageRevisions(default:catalog-nephio-optional:nephio/optional:main) fetching packages from external repository
I0208 07:36:34.328351       1 repository.go:539] repositorySync default:catalog-infra-capi:infra/capi:main: sync started
I0208 07:36:34.344896       1 repository.go:152] crcache: getPackageRevisions(default:catalog-infra-capi:infra/capi:main) fetching packages from external repository
